id,model,children,archival_object_id,has_finding_aid_1,identifier_1,institution_1,local_collection_id_1,repository_1,resource_type,rights_statement_1,license,subject_10,subject_11,subject_12,subject_13,subject_1,subject_2,subject_3,subject_4,subject_5,subject_6,subject_7,subject_8,subject_9,title_1,visibility,
df71g529k,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b037_B00856,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85040193,http://id.loc.gov/authorities/subjects/sh85005908,http://id.loc.gov/authorities/subjects/sh85017769,,,,,,,"Villa St. Clara Apartments, 12th and Taylor, Portland. Houses in background, rain on street in foreground.",open,
df737c49c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b162_Z01610,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85087168,http://id.loc.gov/authorities/subjects/sh85121591,http://id.loc.gov/authorities/subjects/sh85090355,,,,,,,PH037_b162_Z01610,open,
n870zx10k,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b226_AM00108_print_v,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85139691,http://id.loc.gov/authorities/subjects/sh2002006521,http://id.loc.gov/authorities/subjects/sh85033238,http://id.loc.gov/authorities/subjects/sh85106996,http://id.loc.gov/authorities/subjects/sh86002417,http://id.loc.gov/authorities/subjects/sh85110266,,,,PH037_b226_AM00108_print (verso),open,
df738k67q,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b207_32938_neg,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85050707,http://id.loc.gov/authorities/subjects/sh85098618,http://id.loc.gov/authorities/subjects/sh85137241,http://id.loc.gov/authorities/subjects/sh85074030,,,,,,Landscape and Lake.,open,
n870zx09t,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b226_AM00105_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85026080,http://id.loc.gov/authorities/subjects/sh85110916,http://id.loc.gov/authorities/subjects/sh85042531,http://id.loc.gov/authorities/subjects/sh2009008907,http://id.loc.gov/authorities/subjects/sh85026086,,,,,PH037_b226_AM00105_print (recto),open,
df72cq47f,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b139_S00577,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114250,http://id.loc.gov/authorities/subjects/sh85048830,http://id.loc.gov/authorities/subjects/sh95001501,http://id.loc.gov/authorities/subjects/sh85116826,http://id.loc.gov/authorities/subjects/sh85065268,http://id.loc.gov/authorities/subjects/sh85074392,http://id.loc.gov/authorities/subjects/sh85028740,http://id.loc.gov/authorities/subjects/sh85048879,http://id.loc.gov/authorities/subjects/sh85114749,PH037_b139_S00577 Angelus Studio Photographs,open,
df737m93c,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b177_B00268,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85062487,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh85017769,http://id.loc.gov/authorities/subjects/sh85101264,,,,,,PH037_b177_B00268,open,
bv73cb17b,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b222_H00052_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh2018000303,,,,,,,,,PH037_b222_H00052_print (recto),open,
jm215536d,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b218_02582_print,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85114487,http://id.loc.gov/authorities/subjects/sh87003234,http://id.loc.gov/authorities/subjects/sh85138674,,,,,,,"Oneonta bluffs and tunnel, Columbia River Highway. (recto)",open,
df738b368,Image,,,https://scua.uoregon.edu/repositories/2/resources/2643,PH037_b181_73901,http://id.loc.gov/authorities/names/n80126183,PH037,http://id.loc.gov/authorities/names/no2003116678,http://purl.org/dc/dcmitype/Image,http://rightsstatements.org/vocab/InC/1.0/,,,,,,http://id.loc.gov/authorities/subjects/sh85006877,http://id.loc.gov/authorities/subjects/sh85040193,,,,,,,,R. Holman,open,
